name,category,city,address,court_count,lights,access,hours,phone,reserve_url,info_url,directions_url,notes,lat,lng,map_accuracy,id
La Cienega Tennis Center,pay,Beverly Hills,"325 S. La Cienega Blvd., Beverly Hills, CA 90211",13,yes,Advance reservation and tennis/pickleball membership required; current booking uses Playbypoint.,Daily 7 AM–10 PM.,(310) 285-6825,https://beverlyhills.org/1804/Tennis-and-Pickleball-Program-Updates,https://beverlyhills.org/540/Tennis-Pickleball,https://www.google.com/maps/search/?api=1&query=325+S.+La+Cienega+Blvd.%2C+Beverly+Hills%2C+CA+90211,,,,pending address/facility match,pay-la-cienega-tennis-center
Roxbury Park Tennis Courts,pay,Beverly Hills,"401 S. Roxbury Dr., Beverly Hills, CA 90212",3,yes,Advance reservation and tennis/pickleball membership required; current booking uses Playbypoint.,Mon–Thu 7 AM–10 PM; Fri–Sun 7 AM–6 PM.,(310) 285-6829,https://beverlyhills.org/1804/Tennis-and-Pickleball-Program-Updates,https://beverlyhills.org/540/Tennis-Pickleball,https://www.google.com/maps/search/?api=1&query=401+S.+Roxbury+Dr.%2C+Beverly+Hills%2C+CA+90212,,,,pending address/facility match,pay-roxbury-park-tennis-courts
Balboa Courts,pay,Burbank,"17015 Burbank Blvd., Encino, CA 91316",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 8 AM–12 PM & 5 PM–9 PM; Sat/Sun & Holidays 8 AM–7 PM,(818) 995-6570,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=17015+Burbank+Blvd.%2C+Encino%2C+CA+91316,,,,pending address/facility match,pay-balboa-courts
Recreation Park Tennis Courts,pay,El Segundo,"401 Sheldon St., El Segundo, CA 90245",,unknown,Court rental requests are handled through the city reservation process.,,,https://www.elsegundo.org/Home/Components/ServiceDirectory/ServiceDirectory/397/268948,https://www.elsegundo.org/visiting/parks,https://www.google.com/maps/search/?api=1&query=401+Sheldon+St.%2C+El+Segundo%2C+CA+90245,,,,pending address/facility match,pay-recreation-park-tennis-courts
Washington Park Tennis Courts,pay,El Segundo,"760 W. Acacia Ave., El Segundo, CA 90245",,unknown,Court rental requests are handled through the city reservation process.,,,https://www.elsegundo.org/Home/Components/ServiceDirectory/ServiceDirectory/397/268948,https://www.elsegundo.org/visiting/parks,https://www.google.com/maps/search/?api=1&query=760+W.+Acacia+Ave.%2C+El+Segundo%2C+CA+90245,,,,pending address/facility match,pay-washington-park-tennis-courts
Fremont Tennis Courts,pay,Glendale,"600 Hahn Ave., Glendale, CA 91203",8,yes,Paid/reservable through Glendale Tennis Academy.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/parks-facilities-reservations/other-reservable-facilities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=600+Hahn+Ave.%2C+Glendale%2C+CA+91203,,34.1499927,-118.2643132,verified facility coordinate,pay-fremont-tennis-courts
Glorietta Tennis Courts,pay,Glendale,"2801 N. Verdugo Rd., Glendale, CA 91208",,yes,Paid/reservable through the listed operator.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/parks-facilities-reservations/other-reservable-facilities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=2801+N.+Verdugo+Rd.%2C+Glendale%2C+CA+91208,,34.1880613,-118.2267409,verified facility coordinate,pay-glorietta-tennis-courts
Scholl Canyon Golf & Tennis Center,pay,Glendale,"3800 E. Glenoaks Blvd., Glendale, CA 91206",,yes,Paid/reservable through the listed operator.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/parks-facilities-reservations/other-reservable-facilities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=3800+E.+Glenoaks+Blvd.%2C+Glendale%2C+CA+91206,,34.1589551,-118.1971625,verified facility coordinate,pay-scholl-canyon-golf-tennis-center
Hermosa Beach Community Center Tennis Courts,pay,Hermosa Beach,"710 Pier Ave., Hermosa Beach, CA 90254",6,unknown,Free-play periods are available; reservations require the resident Tennis Membership Program.,,(310) 318-0280,https://apm.activecommunities.com/cityofhermosabeach,https://www.hermosabeach.gov/Home/Components/FacilityDirectory/FacilityDirectory/131/248,https://www.google.com/maps/search/?api=1&query=710+Pier+Ave.%2C+Hermosa+Beach%2C+CA+90254,,,,pending address/facility match,pay-hermosa-beach-community-center-tennis-courts
Billie Jean King Tennis Center,pay,Long Beach,"1040 Park Ave., Long Beach, CA 90804",8,yes,Paid court reservations available up to one week in advance.,,(562) 438-8509,https://www.longbeach.gov/park/park-and-facilities/directory/billie-jean-king-tennis-center/,https://www.longbeach.gov/park/park-and-facilities/directory/billie-jean-king-tennis-center/,https://www.google.com/maps/search/?api=1&query=1040+Park+Ave.%2C+Long+Beach%2C+CA+90804,,,,pending address/facility match,pay-billie-jean-king-tennis-center
